gene	celltype	trend_class	score	RNA_mean	RNA_rho	CaH_RNA	CaB_RNA	CaT_RNA	H3K27ac_mean	H3K27ac_rho	CaH_K27ac	CaB_K27ac	CaT_K27ac	H3K27me3_mean	H3K27me3_rho	CaH_K27me3	CaB_K27me3	CaT_K27me3	H3K9me3_mean	H3K9me3_rho	CaH_K9me3	CaB_K9me3	CaT_K9me3
IGSF22	STR D1 MSN	DOWN	1.6017311107533971	0.026124784722924232	0.576353710775097	0.030890094116330147	0.02576036937534809	0.02172388695180416	5.1627474022097886e-05	-0.6001095027375685	5.33200909558218e-05	5.143161251908168e-05	4.185536454315297e-05	4.623670520231826e-06	0.3080670018841103	5.369109203456901e-06	3.3815372262324672e-06	4.628800979844527e-06	5.412265181803377e-06	0.4916146939572404	5.420234629127663e-06	3.0343026082846336e-06	1.6371350284316577e-05
SH3RF1	STR D1 MSN	DOWN	1.5995151365438751	0.23535118997097015	0.17359345966608047	0.26546406745910645	0.2510243356227875	0.18956564366817474	6.016820771037601e-05	-0.7429745743643593	6.224967364687473e-05	5.98980623180978e-05	4.832099875784479e-05	2.7586202122620307e-06	0.5764933183846428	2.2796571101935115e-06	2.167235606975737e-06	6.890702934470028e-06	6.795984972995939e-06	0.5994718440962361	6.40069083601702e-06	7.129771802283358e-06	7.985609045135789e-06
ST6GAL1	STR D1 MSN	DOWN	1.5786648113212387	0.05430765077471733	0.3441614747173151	0.05877051502466202	0.05864259600639343	0.04550985246896744	6.510677485493943e-05	-0.45849696242406063	6.987960659898818e-05	6.511102401418611e-05	3.4350596251897514e-05	3.9550563087686896e-05	0.8062011550288758	3.3647014788584784e-05	4.418701428221539e-05	5.4988031479297206e-05	3.801420098170638e-05	0.6309382734568365	3.7899575545452535e-05	3.5291410313220695e-05	5.1418410293990746e-05
LINC02325	STR D1 MSN	DOWN	1.5707601669807063	0.02369001880288124	0.3822678650680111	0.03215334936976433	0.024072077125310898	0.01484463457018137	7.24364654161036e-05	-0.4855201380034502	7.3101713496726e-05	7.276858377736062e-05	6.62418533465825e-05	4.3860459300049115e-06	0.5195953497352935	4.374036052468e-06	3.958692559535848e-06	5.71742384636309e-06	2.9122738851583563e-05	0.24106502662566567	2.816854976117611e-05	2.8292002753005363e-05	3.9573893445776775e-05
AOAH	STR D1 MSN	DOWN	1.5693655817089245	0.20002268254756927	0.14417905418435373	0.22699140012264252	0.20967882871627808	0.1633979231119156	1.0447137356095482e-05	0.47860989444962376	1.1738203284039628e-05	9.899707947624847e-06	5.283890459395479e-06	9.771665645530447e-06	0.6643855550835517	8.980258826341014e-06	1.0214134817942977e-05	1.2374141988402698e-05	2.702038545976393e-05	0.07786694667366685	2.3638784114154987e-05	3.0987146601546556e-05	3.2049523724708706e-05
SPTY2D1	STR D1 MSN	DOWN	1.5640472517456487	0.07592025399208069	0.33941583688458177	0.09018624573945999	0.079133041203022	0.058441419154405594	3.16972000291571e-05	-0.26787219680492014	3.4582397347548977e-05	2.9990376788191497e-05	2.2940614144317806e-05	6.069258688512491e-06	0.5550603335436267	5.446494469651952e-06	6.267923254199559e-06	8.562165930925403e-06	9.779230822459795e-06	0.5522821122091258	9.231172953150235e-06	1.0129566362593323e-05	1.1949387953791302e-05
TUBA1A	STR D1 MSN	DOWN	1.5620546054562898	0.22780348360538483	0.2056205292003114	0.2638191282749176	0.24705366790294647	0.1725376695394516	0.00010666816524462774	-0.7804980124503114	0.0001084542745957151	0.0001069985592039302	9.32657640078105e-05	1.0215206884822692e-06	0.24528213736218116	1.2775958566635381e-06	7.409048521367367e-07	5.88504974530224e-07	4.624831490218639e-06	0.5505062988568222	3.6937365166522795e-06	4.850347977480851e-06	1.0023917639045976e-05
ALG9	STR D1 MSN	DOWN	1.54402928892959	0.21612057089805603	0.16479931700745226	0.2595024108886719	0.2051091492176056	0.18374985456466675	0.00010320018191123381	-0.593643063692783	0.00010750689398264512	0.00010228274913970381	8.07500837254338e-05	2.3916286409075838e-06	0.4387199288210788	2.36031132772041e-06	2.855354978237301e-06	1.1665821375572705e-06	7.5573730100586545e-06	0.5792911771642026	4.761844593303977e-06	1.0876554370042868e-05	1.153002813225612e-05
TMSB15B	STR D1 MSN	DOWN	1.5307001820716202	0.02409566566348076	0.48826220074425625	0.027757592499256134	0.025464868173003197	0.019064530730247498	3.483232285361737e-05	-0.1162094052351309	3.7706522562075406e-05	3.2213905797107145e-05	3.139144610031508e-05	2.8648504667216912e-05	0.8391558283921865	2.4038783521973528e-05	2.210352977272123e-05	7.095665932865813e-05	0.0	0.0	0.0	0.0	0.0
LINC02519	STR D1 MSN	DOWN	1.5170926509744083	0.026573486626148224	0.4775849177972204	0.03135275840759277	0.02637333609163761	0.021994372829794884	6.54927316645626e-06	0.4827992288895256	7.502646440116223e-06	5.9088838497700635e-06	4.095261374459369e-06	2.833461985574104e-05	0.5382209555238882	2.665759348019492e-05	2.832371501426678e-05	3.667248893179931e-05	2.1871213903068565e-05	0.22604215105377637	2.1204670701990835e-05	2.1853931684745476e-05	2.6564102881820872e-05
